Codigo;Hacinamiento;VIvInconv;SanitarioNo;EscolaridadNO;SUbsiNo;NBISi
660070707;0;0;0;0;0;0
660070708;11.76;0;5.88;9.8;5.88;29.41
660070709;11.18;2.63;10.53;0.66;0.66;21.05
660070710;7.02;1.75;14.04;7.02;0;22.81
660070711;0.86;0.86;4.31;1.72;0;7.76
660070712;2.36;1.57;0.79;0.79;4.72;10.24
660070713;5.33;0.67;3.33;3.33;3.33;14.67
660070801;8.33;11.83;4.57;4.57;3.49;25.27
660070802;6.19;8.85;4.87;7.52;3.1;25.22
660070803;7.3;7.87;0;12.36;0.56;24.16
660070804;6.83;7.65;4.37;5.19;3.83;23.22
660070805;10;7.6;0.8;6.8;1.2;23.2
660070806;2.68;9.52;2.98;1.49;1.79;15.77
660070807;5.8;4.35;3.19;1.74;3.19;14.49
660070808;4.35;13.33;0.29;2.61;2.61;20.87
660070809;4.01;6.79;0.93;6.79;1.54;17.59
660070810;8.33;6.14;0;4.39;3.07;17.54
660070811;10.14;16.44;13.42;2.19;3.01;35.07
660070901;3.1;5.17;3.45;4.48;1.03;14.83
660070902;3.69;14.09;4.03;2.01;0.34;21.48
660070903;1.26;4.03;0.5;0.76;0.25;6.8
660070904;1.82;6.67;0.91;1.52;1.21;10.61
660070905;1.22;2.93;0;2.2;0.73;6.83
660070906;2.37;1.32;0.26;0.79;1.84;6.05
660070907;0;0;0;0.53;0;0.53
660070908;2.8;7.94;2.8;0.93;0.47;9.81
660070909;1.77;7.08;0.29;0.59;0.59;9.14
660070910;2.41;3.61;0;1.2;0.4;6.83
660070911;2.53;6.96;2.22;1.58;1.27;12.66
660070912;3.17;9.13;2.78;0.79;1.79;15.48
660070913;5.65;7.53;2.15;2.42;2.69;18.82
660070914;3.17;8.33;0;0.79;3.17;15.08
660070915;6.96;3.3;0.37;2.56;2.56;14.29
660070916;5.49;2.53;1.69;0.42;2.95;11.39
660070917;7.92;10.4;3.47;1.49;3.47;25.74
660140101;2.5;0;3.75;2.5;1.25;10
660140102;2.67;0;12;0;2.67;17.33
660140103;1.59;3.97;11.9;0;1.59;18.25
660140104;3.3;1.1;4.4;2.2;1.1;12.09
660140105;5.84;2.6;0;1.95;0.65;11.04
660140106;1.9;4.76;0;0;0;6.67
660140201;0;0;50;0;0;50
660140202;6.01;5.46;16.39;0.55;1.64;26.23
660140203;6.94;0.46;7.41;0;1.39;14.81
660140204;1.56;1.56;15.63;0;0;18.75
660140205;2.06;2.06;4.12;0;0;8.25
660140206;4.79;2.74;1.37;0;0.68;8.22
660140207;6.51;1.18;2.37;0.59;1.78;11.83
660140208;3.35;7.11;2.09;0;1.67;12.97
660140209;3.83;10.64;0.85;0;0;13.62
660140210;3.48;4.98;0;0;0;7.46
660140211;5.21;2.37;7.58;0.95;0.95;15.17
660140212;6.62;4.64;0.66;0;1.99;12.58
660140213;7.84;10.46;2.61;0;0;18.3
660210101;4.65;0;20.93;0;0;25.58
660210102;0;3.45;10.34;0;0;10.34
660210103;4.07;4.52;0.9;0;0.45;8.6
660210104;8.24;1.18;31.76;0;0;40
660210105;3.33;1.67;11.67;0;0;16.67
660210106;4.82;1.2;1.2;0;0;7.23
660210107;18.18;0;9.09;0;0;27.27
660210108;33.33;0;16.67;0;0;50
660210109;10.53;0;10.53;0;0;15.79
660210110;4.88;2.44;2.44;2.44;2.44;14.63
660210201;0;0;0;0;0;0
660210202;4;0;36;0;0;40
660210301;11.19;1.81;0.72;3.25;0.72;16.61
660210302;9.24;3.18;2.55;0.32;0.64;14.01
660210303;2.31;4.29;1.65;0.66;0.33;8.91
660210304;7.33;5.57;0.59;1.17;0.59;14.37
660210305;2.92;5.83;0.58;0.58;0.87;9.04
660210306;3.27;6.54;0;0;0.33;9.15
660210307;4.44;4.44;0.89;0;0.44;8.89
660210308;3.99;7.69;0.57;1.99;0.28;13.11
660210309;5.95;1.49;1.49;1.12;1.12;10.04
660210310;2.44;5.85;0;0.49;0;8.29
660210311;5.04;8.61;0;0.59;0.59;12.46
660210312;3.24;1.85;0;0.46;0.93;6.48
660210313;1.52;7.98;0;0;0.76;9.51
660210314;3.42;10.65;0;0;0.76;14.07
660210315;4.4;7.23;0;0.31;0;11.01
660210316;5.8;14.29;0;0.45;1.79;18.75
660280101;2.27;4.55;9.09;0;2.27;18.18
660280102;1.9;2.54;4.44;1.27;0;9.84
660280103;7.81;5.47;7.81;3.13;0.78;21.09
660280104;1.35;0.68;0;0.68;0.68;2.7
660280105;0;0;0;0;0;0
660280106;0.25;1;0;0;0.25;1.5
660280201;0;3.61;2.41;1.2;0;6.02
660280202;0;0;4.35;0;0;4.35
660280203;0;0.57;0;0.29;0;0.86
660280204;0;0.74;0;0;0;0.74
660280205;0;1.73;0;0;0;1.73
660280206;3.26;10.7;0.93;0.47;1.86;16.28
660280207;5.36;6.43;2.41;0.54;1.34;15.01
660280208;2.41;5.42;1.2;3.01;2.41;14.46
660280301;17.71;9.11;18.49;0.26;3.13;39.32
660280302;0;4.35;8.7;0;0;8.7
660280303;12.62;16.82;19.63;0.93;1.87;40.65
660280304;11.42;13.24;10.05;0;0.91;28.31
660280305;14.56;3.85;3.85;0.27;1.65;20.6
660280306;11.94;0.65;1.29;0.65;0.97;14.19
660280307;14.19;3.38;1.69;1.01;0.68;18.92
660280308;5.56;9.09;2.02;1.01;0;16.16
660280309;10.7;3.01;1.67;1;0.33;16.05
660280310;12.5;7.74;5.36;0.6;1.79;19.05
660280311;2.92;3.65;0;0.73;0;7.3
660280312;0.66;0.33;0;0;0.33;1.32
660280313;1.35;1.35;0.45;0;0;3.15
660280314;0.44;0;0;0.44;0;0.88
660280401;10;20;10;0;0;40
660280402;0;3.7;22.22;0;0;22.22
660280403;0;3.45;20.69;0;3.45;24.14
660280404;0;0;0;0;0;0
660280501;1.45;0.73;0.36;0;0;2.55
660280502;3.29;2.1;1.2;0.3;0.3;6.29
660280503;3.01;3.01;1.25;0.5;0.25;6.77
660280504;1.14;0;0;0.23;0;1.37
660280505;1.14;0.85;0.28;0.57;0;2.28
660280506;1.43;1.07;0;0;0;2.5
660280507;0.4;0.4;0;0;0;0.8
660280508;0.9;1.81;0;0;0;2.71
660280509;0;1.16;0;0;0;1.16
